name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Nissan Leaf,https://www.autotrader.co.uk,"£5,100",114000,,Automatic,Electric,5,Hatchback,,,2011 (11 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£5,460",73878,,Automatic,Electric,2,Hatchback,,,2011 (61 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/essex/ilford/clean-motors-10000736,"£7,499",59900,,Automatic,Electric,,Hatchback,,,2011 (11 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/west-midlands/sutton-coldfield/canwell-cars-576283,"£7,490",34000,,Automatic,Electric,,Hatchback,,,2011 (11 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/devon/totnes/ds-motors-10032181,"£6,250",95000,,Automatic,Electric,2,Hatchback,,,2011 (11 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/warwickshire/birmingham/k-u-motors-ltd-10032641,"£6,595",81500,,Automatic,Electric,,Hatchback,,,2011 (71 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/essex/ilford/baree-motors-ltd-10031286,"£7,995",50235,,Automatic,Electric,3,Hatchback,,,2011 (64 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£6,595",87000,,Automatic,Electric,6,Hatchback,,,2011 (11 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/middlesex/kilburn/blue-sky-motors-ltd-10026200,"£6,980",68000,,Automatic,Electric,3,Hatchback,,,2011 (61 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/lanarkshire/glasgow/bank-motors-17351,"£7,995",17000,,Automatic,Electric,,Hatchback,,,2011 (11 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/middlesex/hounslow/hounslow-cars-ltd-10016360,"£7,500",43000,,Automatic,Electric,,Hatchback,,,2012 (12 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/middlesex/north-kensington/a2b-direct-cars-ltd-10029209,"£7,750",55213,,Automatic,Electric,3,Hatchback,,,2012 (62 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/berkshire/reading/atlantic-motor-company-10012389,"£7,999",38000,,Automatic,Electric,,Hatchback,,,2012 (12 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£7,700",24149,,Automatic,Electric,,Hatchback,,,2012 (61 reg)
