name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Nissan Navara,https://www.autotrader.co.uk,"£5,690",103000,174,Manual,Diesel,4,Pickup,,2.5L,2005 (55 reg)
Nissan Navara,https://www.autotrader.co.uk,"£4,980",148000,174,Manual,Diesel,5,Pickup,,2.5L,2005 (05 reg)
Nissan Navara,https://www.autotrader.co.uk,"£4,000",84875,169,Manual,Diesel,,Pickup,,2.5L,2006 (56 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/leicestershire/leicester/x-drive-motors-10019711,"£4,999",137000,174,Automatic,Diesel,,Pickup,,2.5L,2006 (06 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/peterborough/yaxley/junction-17-cars-peterborough-294981,"£6,945",92167,174,Automatic,Diesel,,Pickup,,2.5L,2006 (56 reg)
Nissan Navara,https://www.autotrader.co.uk,"£8,995",120356,174,Manual,Diesel,4,Pickup,,2.5L,2006 (56 reg)
Nissan Navara,https://www.autotrader.co.uk,"£5,800",111701,174,Manual,Diesel,4,Pickup,,2.5L,2006 (56 reg)
Nissan Navara,https://www.autotrader.co.uk,"£4,500",123710,174,Manual,Diesel,2,Pickup,,2.5L,2006 (06 reg)
Nissan Navara,https://www.autotrader.co.uk,"£4,250",168000,174,Automatic,Diesel,2,Pickup,,2.5L,2006 (06 reg)
Nissan Navara,https://www.autotrader.co.uk,"£3,995",141000,169,Manual,Diesel,4,Pickup,,2.5L,2007 (57 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/luton/select-cars-10017795,"£8,495",71000,169,Automatic,Diesel,,Pickup,,2.5L,2007 (07 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/middlesex/uxbridge/lami-auto-ltd-10027061,"£6,500",93510,172,Automatic,Diesel,,Pickup,,2.5L,2007 (07 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/essex/manningtree/the-pre-loved-car-company-10027172,"£5,445",85680,174,Manual,Diesel,,Pickup,,2.5L,2007 (07 reg)
Nissan Navara,https://www.autotrader.co.uk,"£5,500",50000,174,Manual,Diesel,3,Pickup,,2.5L,2007 (07 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/essex/barking/london-v-trader-10001475,"£4,495",144827,169,Automatic,Diesel,6,Pickup,,2.5L,2007 (57 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/leighton-buzzard/praters-10003215,"£7,500",98000,169,Manual,Diesel,,Pickup,,2.5L,2007 (57 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/somerset/bristol/verdi-cars-limited-10002021,"£4,989",95000,169,Manual,Diesel,,Pickup,,2.5L,2007 (57 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/bedford/auto-select-bedford-ltd-10004677,"£8,495",72000,169,Manual,Diesel,,Pickup,,2.5L,2007 (07 reg)
Nissan Navara,https://www.autotrader.co.uk,"£4,950",121681,169,Automatic,Diesel,2,Pickup,,2.5L,2007 (57 reg)
Nissan Navara,https://www.autotrader.co.uk,"£6,995",77000,169,Automatic,Diesel,,Pickup,,2.5L,2007 (07 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/bedford/priory-cars-10031049,"£8,500",74000,169,Automatic,Diesel,,Pickup,,2.5L,2007 (57 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/west-yorkshire/leeds/pudsey-service-centre-6432,"£5,995",189000,169,Automatic,Diesel,,Pickup,,2.5L,2007 (57 reg)
