name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Nissan X-Trail,https://www.autotrader.co.uk,"£1,450",166222,136,Manual,Diesel,5,SUV,,2.2L,2005 (05 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/buckinghamshire/high-wycombe/white-lion-cars-10030976,"£2,295",123000,136,Manual,Diesel,3,SUV,,2.2L,2005 (05 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/bedfordshire/bedford/ace-autos-10009586,"£2,495",98000,165,Manual,Petrol,5,SUV,,2.5L,2005 (05 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/hampshire/southampton/meadens-of-hythe-2168,"£1,995",150000,134,Manual,Diesel,,SUV,,2.2L,2005 (05 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/kent/london/bull-cars-limited-10007219,"£4,495",71000,165,Automatic,Petrol,2,SUV,,2.5L,2005 (55 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/hertfordshire/baldock/in-herts-motors-10025638,"£3,999",80875,136,Manual,Diesel,,SUV,,2.2L,2005 (05 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/surrey/west-molesey/aa-car-sales-656362,"£2,495",130000,165,Automatic,Petrol,2,SUV,,2.5L,2005 (05 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/surrey/surbiton/the-carz-trade-centre-ltd-10000450,"£3,800",90000,165,Automatic,Petrol,,SUV,,2.5L,2005 (05 reg)
Nissan X-Trail,https://www.autotrader.co.uk,£950,133000,136,Manual,Diesel,2,SUV,,2.2L,2005 (05 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/northamptonshire/peterborough/globe-cars-10033479,"£2,290",122345,165,Automatic,Petrol,,SUV,,2.5L,2005 (54 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£1,650",128109,136,Manual,Diesel,2,SUV,,2.2L,2005 (05 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£1,995",147364,136,Manual,Diesel,2,SUV,,2.2L,2005 (55 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/staffordshire/burton-on-trent/kings-bromley-car-centre-10001137,"£2,089",220512,136,Manual,Diesel,,SUV,,2.2L,2005 (05 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£2,990",58795,165,Automatic,Petrol,2,SUV,,2.5L,2005 (55 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/cornwall/penzance/gmo-cars-2125,"£2,995",84000,136,Manual,Diesel,3,SUV,,2.2L,2005 (55 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/west-yorkshire/leeds/pudsey-service-centre-6432,"£2,495",155000,136,Manual,Diesel,,SUV,,2.2L,2005 (05 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/northamptonshire/peterborough/c-a-car-sales-ltd-10020312,"£3,295",60000,136,Manual,Diesel,2,SUV,,2.2L,2005 (54 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£2,950",151500,136,Manual,Diesel,2,SUV,,2.2L,2005 (55 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£1,995",146000,136,Manual,Diesel,3,SUV,,2.2L,2005 (05 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/buckinghamshire/marlow/haven-cars-533956,£650,121222,136,Manual,Diesel,3,SUV,,2.2L,2006 (55 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/bedfordshire/bedford/mk40-autos-ltd-10030454,"£2,290",118467,166,Manual,Petrol,3,SUV,ULEZ,2.5L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/west-midlands/birmingham/percy-motors-birmingham-ltd-10006885,"£1,495",101200,136,Manual,Diesel,,SUV,,2.2L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/bedfordshire/sandy/sandy-cars-10024455,"£2,350",101000,136,Manual,Diesel,,SUV,,2.2L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/west-sussex/east-grinstead/max-motors-uk-10006097,"£1,995",172145,136,Manual,Diesel,,SUV,,2.2L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/middlesex/west-drayton/first-premier-motors-limited-10020323,"£2,500",107000,136,Manual,Diesel,2,SUV,,2.2L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/surrey/woking/chobham-automotive-10030451,"£2,095",116000,165,Automatic,Petrol,,SUV,,2.5L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/gloucestershire/wotton-under-edge/autos-direct-ltd-10009009,"£1,799",154000,136,Manual,Diesel,,SUV,,2.2L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/bedfordshire/bedford/ms-motor-house-10023917,"£2,495",128000,166,Manual,Petrol,3,SUV,ULEZ,2.5L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/bedfordshire/leighton-buzzard/emq-kars-10015970,"£2,499",114470,165,Automatic,Petrol,2,SUV,ULEZ,2.5L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£2,000",117032,165,Automatic,Petrol,5,SUV,ULEZ,2.5L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/essex/barking/london-v-trader-10001475,"£1,995",135170,165,Automatic,Petrol,6,SUV,ULEZ,2.5L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/surrey/farnham/black-swan-car-sales-10026820,"£2,995",116000,136,Manual,Diesel,,SUV,,2.2L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/surrey/woking/autoland-westend-10018613,"£3,290",122000,165,Automatic,Petrol,,SUV,ULEZ,2.5L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£2,200",110800,136,Manual,Diesel,2,SUV,,2.2L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£3,495",85000,136,Manual,Diesel,,SUV,,2.2L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/uk-web-sites/blackwood/chris-waite-car-sales-1142,"£1,995",158000,136,Manual,Diesel,3,SUV,,2.2L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/staffordshire/cannock/windmill-service-station-limited-18586,"£2,999",117000,136,Manual,Diesel,3,SUV,,2.2L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/berkshire/thatcham/thatcham-motor-company-ltd-10009910,"£6,094",60250,165,Automatic,Petrol,2,SUV,ULEZ,2.5L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£2,600",125024,136,Manual,Diesel,4,SUV,,2.2L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/suffolk/ipswich/michael-martin-car-sales-10025022,"£3,500",112500,165,Automatic,Petrol,,SUV,ULEZ,2.5L,2006 (56 reg)
Nissan X-Trail,https://www.autotrader.co.uk/dealers/bedfordshire/biggleswade/lakeview-cars-165163,"£6,945",39000,136,Manual,Diesel,,SUV,,2.2L,2006 (06 reg)
Nissan X-Trail,https://www.autotrader.co.uk,"£3,995",59000,165,Automatic,Petrol,,SUV,,2.5L,2006 (06 reg)
